,model_data
Piaggio,"['Cévennes', 'Cobra', 'Hemera', 'Speedster', 'Speedster II', 'Others']"
Plymouth,"['AL500', 'Ape', 'M500', 'PK500', 'Porter', 'Quargo', 'Others']"
Polestar,"['Acclaim', 'Arrow', 'Barracuda', 'Belvedere', 'Breeze', 'Caravelle']"
Pontiac,"['1', '2', '3', 'Others']"
Porsche,"['6000', 'Aztek', 'Bonneville', 'Catalina Safari', 'Fiero', 'Firebird', '   911', '   930', '   964', '   991', '   992', '   993', '   996', '   997', '912', '914', '918', '924', '928']"
Proton,"['356', '550', '316', '318', '413', '415', '416', '418', '420', 'Gen2', 'Persona', 'Satria', 'Others']"
Puch,"['313', '315', '316', '318', '413']"
RAM,"['G', 'Haflinger', 'Others', 'Pinzgauer']"
Regis,"['1500', '2500', '3500', 'Chassis Cab']"
Reliant,"['Epic0', 'Others']"
Renault,"['Alaskan', 'Alpine A110', 'Alpine A310', 'Alpine A610', 'Alpine V6', 'Arkana', 'Austral', 'Avantime', 'Captur', 'Clio', 'Coupe', 'Duster', 'Espace', 'Express', 'Fluence', 'Fluence Z.E.', 'Fuego', 'Grand Espace', 'Grand Modus', 'Grand Scenic', 'Kadjar', 'Kangoo', 'Kangoo Z.E.', 'Koleos', 'Laguna', 'Latitude', 'Logan', 'Mascott', 'Master', 'Megane', 'Megane E-Tech', 'Messenger', 'Modus', 'P 1400', 'R 11', 'R 14', 'R 18', 'R 19', 'R 20', 'R 21', 'R 25', 'R 30', 'R 4', 'R 5', 'R 6', 'R 9', 'Rapid', 'Safrane', 'Sandero', 'Sandero Stepway', 'Scenic', 'Spider', 'Super 5', 'Symbol', 'Talisman', 'Trafic', 'Twingo', 'Twizy', 'Vel Satis', 'Wind', 'ZOE', 'Others']"
Rolls-Royce,"['Ant', 'Fox', 'Kitten', 'Azure Mulliner', 'Camargue', 'Cloud', 'Continental R Mulliner', 'Continental R', 'Continental SC', 'Corniche', 'Cullinan']"
Rover,"['Arnage Green Label', 'Arnage Red Label', 'Azure', '115', '200', '213', '214', '216', '218', '220', '25', '400', '414', '416', '418', '420', '45', '600', '618', '620', '623', '75', '800', '820', '825', '827', 'City Rover', 'Estate', 'Metro']"
Ruf,"['100', '3600S', 'BTR', 'CTR', 'CTR2', 'CTR3', 'Dakara', 'GT', 'R Kompressor', 'R Turbo', 'RGT', 'RGT-8', 'RK Coupe/Spyder', 'RT 12', 'RT 12R', 'RT 12S', 'SCR', 'Turbo Florio', 'Turbo R', 'Others']"
SEAT,"['Alhambra', 'Altea', 'Altea XL', 'Arona', 'Arosa', 'Ateca', 'Cordoba', 'Exeo', 'Fura', 'Ibiza', 'Inca', 'Leon']"
SGS,"['500', 'Others']"
Saab,"['3400S', '3600S', 'BTR', 'CTR', '9-7X', '90', '900', '9000', '92', '93', '95', '96', '99', 'GT 750', 'Sonett', 'Sport / GT 850', 'Others']"
Santana,"['9-2X', '300', '350', '410', 'Anibal', 'PS-10', 'S300', 'S350', 'Samurai', 'Vitara', 'Vitara Cabriolet', 'Others']"
Segway,"['Alhambra', 'Altea', 'Altea XL', 'Arona', 'Villain 1000 SH', 'Villain SX10', 'Villain SX10 H', 'Others']"
Selvo,"['Fugleman 1000', 'Fugleman 570', 'Fugleman UT 10', 'Fugleman UT6 H', 'Villain 1000 SH', 'Villain SX10']"
Seres,"['2P45', 'LT Cargo', 'Others']"
Sevic,"['Seres 3', 'Seres 5', 'Seres 7', 'Others']"
Shelby,"['Biarritz', 'Gullwing', 'Marbella Cabrio', 'Mustang Super Snake', 'Series 1', 'Others']"
Shuanghuan,"['F-150', 'F-150 Super Snake', 'Mustang GT-H', 'Mustang Super Snake', 'Series 1']"
Singer,"['Ceo', 'Others']"
Skoda,['Others']
SpeedArt,"['brabus', 'city-coupé/city-cabrio', 'crossblade', 'forFour', 'forTwo']"
Spyker,['Others']
SsangYong,"['Actyon', 'Family', 'Kallista', 'Korando', 'Kyron', 'MUSSO', 'REXTON', 'Rodius', 'Tivoli', 'XLV', 'Others']"
StreetScooter,"['Actyon', 'Family', 'Kallista', 'Korando', 'Kyron']"
Studebaker,"['Work', 'Work L', 'Others']"
Subaru,"['Champion', 'Others']"
